경기도,화성시,봉담읍-가,경기도 화성시 봉담읍-가,3,화성시,제1선거구,가선거구,3
경기도,화성시,봉담읍-바,경기도 화성시 봉담읍-바,3,화성시,제6선거구,바선거구,3
경상남도,양산시,물금읍-가,경상남도 양산시 물금읍-가,2,양산시,제1선거구,가선거구,2
경상남도,양산시,물금읍-나,경상남도 양산시 물금읍-나,2,양산시,제2선거구,나선거구,3
경상남도,거창군,거창읍-가,경상남도 거창군 거창읍-가,2,거창군,제1선거구,가선거구,4
경상남도,거창군,거창읍-나,경상남도 거창군 거창읍-나,2,거창군,제2선거구,나선거구,3
충청북도,증평군,증평읍-가,충청북도 증평군 증평읍-가,1,증평군,단일선거구,가선거구,2
충청북도,증평군,증평읍-나,충청북도 증평군 증평읍-나,1,증평군,단일선거구,나선거구,2
충청북도,증평군,증평읍-다,충청북도 증평군 증평읍-다,1,증평군,단일선거구,다선거구,2
충청남도,아산시,배방읍-라,충청남도 아산시 배방읍-라,2,아산시,제4선거구,라선거구,3
충청남도,아산시,배방읍-마,충청남도 아산시 배방읍-마,2,아산시,제5선거구,마선거구,3
충청남도,예산군,예산읍 -가,충청남도 예산군 예산읍 -가,2,예산군,제1선거구,가선거구,3
충청남도,예산군,예산읍-나,충청남도 예산군 예산읍-나,2,예산군,제1선거구,나선거구,2
전라남도,순천시,해룡면-아,전라남도 순천시 해룡면-아,3,순천시,제7선거구,아선거구,2
전라남도,순천시,해룡면-자,전라남도 순천시 해룡면-자,3,순천시,제8선거구,자선거구,2
전라남도,장흥군,장흥읍-가,전라남도 장흥군 장흥읍-가,1,장흥군,제1선거구,가선거구,3
전라남도,장흥군,장흥읍-나,전라남도 장흥군 장흥읍-나,1,장흥군,제2선거구,나선거구,3
강원도,영월군,영월읍-가,강원도 영월군 영월읍-가,1,영월군,제1선거구,가선거구,3
강원도,영월군,영월읍-나,강원도 영월군 영월읍-나,1,영월군,제2선거구,나선거구,3
제주특별자치시,제주시,이도2동-3,제주특별자치시 제주시 이도2동-3,8,제주시,제3선거구,None,None
제주특별자치시,제주시,이도2동-4,제주특별자치시 제주시 이도2동-4,8,제주시,제4선거구,None,None
제주특별자치시,제주시,아라동-9,제주특별자치시 제주시 아라동-9,8,제주시,제9선거구,None,None
제주특별자치시,제주시,아라동-10,제주특별자치시 제주시 아라동-10,8,제주시,제10선거구,None,None
제주특별자치시,제주시,연동-12,제주특별자치시 제주시 연동-12,8,제주시,제12선거구,None,None
제주특별자치시,제주시,연동-13,제주특별자치시 제주시 연동-13,8,제주시,제13선거구,None,None
제주특별자치시,제주시,노형동-14,제주특별자치시 제주시 노형동-14,8,제주시,제14선거구,None,None
제주특별자치시,제주시,노형동-15,제주특별자치시 제주시 노형동-15,8,제주시,제15선거구,None,None
제주특별자치시,제주시,애월읍-18,제주특별자치시 제주시 애월읍-18,8,제주시,제18선거구,None,None
제주특별자치시,제주시,애월읍-19,제주특별자치시 제주시 애월읍-19,8,제주시,제19선거구,None,None
세종특별자치시,세종시,조치원읍-1,세종특별자치시 세종시 조치원읍-1,2,세종특별자치시,제1선거구,None,None
세종특별자치시,세종시,조치원읍-2,세종특별자치시 세종시 조치원읍-2,2,세종특별자치시,제2선거구,None,None
세종특별자치시,세종시,도담동-7,세종특별자치시 세종시 도담동-7,2,세종특별자치시,제7선거구,None,None
세종특별자치시,세종시,도담동-8,세종특별자치시 세종시 도담동-8,2,세종특별자치시,제8선거구,None,None
세종특별자치시,세종시,고운동-11,세종특별자치시 세종시 고운동-11,2,세종특별자치시,제11선거구,None,None
세종특별자치시,세종시,고운동-12,세종특별자치시 세종시 고운동-12,2,세종특별자치시,제12선거구,None,None
세종특별자치시,세종시,새롬동-16,세종특별자치시 세종시 새롬동-16,2,세종특별자치시,제16선거구,None,None
세종특별자치시,세종시,새롬동-17,세종특별자치시 세종시 새롬동-17,2,세종특별자치시,제17선거구,None,None
경상북도,포항시북구,장량동-4,경상북도 포항시북구 장량동-4,4,포항시,제4선거구,마선거구,3
경상북도,포항시북구,장량동-5,경상북도 포항시북구 장량동-5,4,포항시,제5선거구,바선거구,2
전라남도,광양시,중마동-3,전라남도 광양시 중마동-3,2,광양시,제3선거구,다선거구,3
전라남도,광양시,중마동-4,전라남도 광양시 중마동-4,2,광양시,제4선거구,라선거구,3
